,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price_bin,Screen Full HD,Screen IPS Panel
185,185,HP,5,3,1,7,0.896551724137931,8,256,2.59,1983,15.6,1.175,Medium,True,False
186,186,Dell,4,2,1,7,0.9655172413793103,16,256,1.18,2361,12.5,0.535,Medium,True,False
187,187,Samsung,4,2,1,7,0.9310344827586208,8,256,1.31,2031,15.6,0.594,Medium,True,False
188,188,Dell,3,1,1,7,0.9310344827586208,16,256,2.3,1501,15.6,1.043,Low,True,False
189,189,Acer,3,2,1,3,0.8275862068965517,4,128,1.8,808,14.0,0.816,Low,False,True
190,190,Dell,1,3,1,5,0.8620689655172414,8,256,2.62,1251,15.6,1.188,Low,True,False
191,191,Dell,3,1,1,3,0.6896551724137931,8,256,2.0,939,15.6,0.907,Low,True,False
192,192,HP,5,3,1,7,0.9655172413793103,8,256,3.14,2623,15.6,1.424,Medium,True,False
193,193,Asus,3,2,1,5,0.8620689655172414,8,256,2.37,1396,15.6,1.075,Low,True,False
194,194,Dell,4,2,1,5,0.8620689655172414,8,256,1.29,1904,13.3,0.585,Medium,True,False
195,195,Samsung,4,2,1,5,0.8620689655172414,8,256,0.81,1904,13.3,0.367,Medium,True,False
196,196,Dell,3,1,1,5,0.8620689655172414,8,256,2.18,1003,15.6,0.989,Low,True,False
197,197,Lenovo,4,2,1,7,0.9310344827586208,8,256,1.32,2361,14.0,0.599,Medium,True,False
198,198,MSI,1,3,1,5,0.8620689655172414,8,256,2.4,1523,15.6,1.088,Low,True,False
199,199,Acer,3,2,1,3,0.8275862068965517,8,128,1.5,786,14.0,0.68,Low,False,True
200,200,Lenovo,3,2,1,5,0.793103448275862,8,256,1.7,1507,14.0,0.771,Low,True,False
201,201,Lenovo,3,2,1,5,0.896551724137931,8,256,1.32,2096,14.0,0.599,Medium,False,True
202,202,Dell,3,1,1,7,0.9310344827586208,4,256,2.18,939,15.6,0.989,Low,True,False
203,203,Lenovo,4,3,1,7,0.9655172413793103,8,256,1.96,2417,14.0,0.889,Medium,False,True
204,204,Asus,3,3,1,7,0.9310344827586208,8,256,2.3,1000,15.0,1.043,Low,False,True
205,205,Dell,3,2,1,5,0.8620689655172414,8,128,1.9,1200,15.6,0.862,Low,True,False
206,206,HP,3,1,1,5,0.896551724137931,8,256,1.84,1714,15.6,0.834,Medium,True,False
207,207,Toshiba,3,2,1,5,0.8620689655172414,4,128,1.05,1632,13.3,0.476,Medium,True,False
208,208,Acer,3,2,1,5,0.8620689655172414,8,256,1.56,1146,14.0,0.707,Low,False,True
209,209,Toshiba,3,2,1,7,0.9310344827586208,8,256,2.0,1763,15.0,0.907,Medium,False,True
210,210,Samsung,4,3,1,7,0.9310344827586208,16,256,1.23,2349,15.0,0.558,Medium,True,False
211,211,Dell,4,2,1,7,0.9655172413793103,8,256,1.6,2147,12.5,0.726,Medium,True,False
212,212,Xiaomi,4,3,1,5,0.793103448275862,8,256,1.28,1188,13.0,0.58,Low,False,True
213,213,HP,3,2,1,5,0.8620689655172414,4,256,2.04,1066,15.6,0.925,Low,True,False
214,214,HP,3,2,1,5,0.8620689655172414,4,128,1.95,1607,14.0,0.884,Low,True,False
215,215,Samsung,4,2,1,7,0.9310344827586208,8,256,1.17,2158,15.0,0.531,Medium,True,False
216,216,Lenovo,4,2,1,5,0.8620689655172414,8,256,1.32,2285,14.0,0.599,Medium,False,True
217,217,Toshiba,3,2,1,5,0.8620689655172414,8,256,1.05,1874,13.3,0.476,Medium,True,False
218,218,Dell,3,2,1,5,0.9655172413793103,8,256,1.6,1531,14.0,0.726,Low,True,False
219,219,Lenovo,3,3,1,7,0.9310344827586208,6,256,2.2,1002,15.6,0.998,Low,True,False
220,220,HP,3,3,1,7,0.9310344827586208,8,256,2.04,1294,15.6,0.925,Low,True,False
221,221,Lenovo,3,2,1,5,0.8620689655172414,4,128,1.44,1119,13.3,0.653,Low,True,False
222,222,HP,3,2,1,5,0.8620689655172414,8,256,1.49,1219,13.3,0.676,Low,True,False
223,223,HP,4,1,1,7,0.8620689655172414,8,256,1.84,1648,15.6,0.834,Medium,True,False
224,224,Toshiba,3,3,1,7,0.896551724137931,16,256,2.4,2509,15.0,1.088,Medium,False,True
225,225,Lenovo,4,2,1,7,0.9310344827586208,8,256,1.36,2096,12.0,0.617,Medium,False,True
226,226,HP,3,2,1,5,0.793103448275862,8,256,2.31,1480,15.6,1.048,Low,True,False
227,227,Toshiba,3,2,1,5,0.793103448275862,4,128,1.47,1404,14.0,0.667,Low,False,True
228,228,HP,2,2,1,5,0.793103448275862,8,256,1.26,2120,12.5,0.571,Medium,True,False
229,229,Dell,4,2,1,5,0.8620689655172414,8,256,1.36,2082,14.0,0.617,Medium,True,False
230,230,Dell,4,2,1,5,0.8620689655172414,8,256,1.36,1870,15.6,0.617,Medium,True,False
231,231,Dell,4,2,1,7,0.9655172413793103,8,256,1.36,2255,14.0,0.617,Medium,True,False
232,232,Toshiba,3,2,1,5,0.793103448275862,8,256,1.2,1855,13.3,0.544,Medium,True,False
233,233,Lenovo,4,2,1,7,0.896551724137931,8,256,1.7,1891,14.0,0.771,Medium,False,True
234,234,Toshiba,3,2,1,5,0.8275862068965517,8,256,1.2,1950,13.3,0.544,Medium,True,False
235,235,Lenovo,4,2,1,5,0.896551724137931,8,256,1.36,2236,12.0,0.617,Medium,False,True
236,236,Lenovo,3,3,1,5,0.8620689655172414,6,256,2.4,883,15.6,1.088,Low,True,False
237,237,Toshiba,3,2,1,5,0.793103448275862,8,256,1.95,1499,14.0,0.884,Low,True,False
